Indicator Name,Geography,Region,Year,Category,Subcategory,Numerator,Denominator,Rate,Lower 95% Confidence Limit,Upper 95% Confidence Limit,
Pregnancy-Related Mortality Ratio,San Joaquin,Northeastern and Northern Central Valley,2013-2015,Total Population,Total population,22,160649,13.7,8.6,20.7,
Pregnancy-Related Mortality Ratio,San Luis Obispo,North and Mid-Coastal,2013-2015,Total Population,Total population,32,295384,10.8,7.4,15.3,
Pregnancy-Related Mortality Ratio,San Mateo,North and Mid-Coastal,2013-2015,Total Population,Total population,32,295384,10.8,7.4,15.3,
Pregnancy-Related Mortality Ratio,Santa Barbara,Los Angeles - Santa Barbara - Ventura,2013-2015,Total Population,Total population,56,431342,13,9.8,16.9,
Pregnancy-Related Mortality Ratio,Santa Clara,North and Mid-Coastal,2013-2015,Total Population,Total population,32,295384,10.8,7.4,15.3,
Pregnancy-Related Mortality Ratio,Santa Cruz,North and Mid-Coastal,2013-2015,Total Population,Total population,32,295384,10.8,7.4,15.3,
Pregnancy-Related Mortality Ratio,Shasta,Northeastern and Northern Central Valley,2013-2015,Total Population,Total population,22,160649,13.7,8.6,20.7,
Pregnancy-Related Mortality Ratio,Sierra,Northeastern and Northern Central Valley,2013-2015,Total Population,Total population,22,160649,13.7,8.6,20.7,
Pregnancy-Related Mortality Ratio,Siskiyou,Northeastern and Northern Central Valley,2013-2015,Total Population,Total population,22,160649,13.7,8.6,20.7,
Pregnancy-Related Mortality Ratio,Solano,Northeastern and Northern Central Valley,2013-2015,Total Population,Total population,22,160649,13.7,8.6,20.7,
Pregnancy-Related Mortality Ratio,Sonoma,North and Mid-Coastal,2013-2015,Total Population,Total population,32,295384,10.8,7.4,15.3,
Pregnancy-Related Mortality Ratio,Stanislaus,Southern Central Valley,2013-2015,Total Population,Total population,23,162608,14.1,9,21.2,
Pregnancy-Related Mortality Ratio,Sutter,Northeastern and Northern Central Valley,2013-2015,Total Population,Total population,22,160649,13.7,8.6,20.7,
Pregnancy-Related Mortality Ratio,Tehama,Northeastern and Northern Central Valley,2013-2015,Total Population,Total population,22,160649,13.7,8.6,20.7,
Pregnancy-Related Mortality Ratio,Trinity,Northeastern and Northern Central Valley,2013-2015,Total Population,Total population,22,160649,13.7,8.6,20.7,
Pregnancy-Related Mortality Ratio,Tulare,Southern Central Valley,2013-2015,Total Population,Total population,23,162608,14.1,9,21.2,
Pregnancy-Related Mortality Ratio,Tuolumne,Southern Central Valley,2013-2015,Total Population,Total population,23,162608,14.1,9,21.2,
Pregnancy-Related Mortality Ratio,Ventura,Los Angeles - Santa Barbara - Ventura,2013-2015,Total Population,Total population,56,431342,13,9.8,16.9,
Pregnancy-Related Mortality Ratio,Yolo,Northeastern and Northern Central Valley,2013-2015,Total Population,Total population,22,160649,13.7,8.6,20.7,
Pregnancy-Related Mortality Ratio,Yuba,Northeastern and Northern Central Valley,2013-2015,Total Population,Total population,22,160649,13.7,8.6,20.7,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Race-Ethnicity,Hispanic,57,709540,8,6.1,10.4,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Race-Ethnicity,Multi-Race,,34327,,,,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Race-Ethnicity,Black,44,75051,58.6,42.6,78.7,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Race-Ethnicity,AIAN,,5218,,,,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Race-Ethnicity,Asian,26,213733,12.2,7.9,17.8,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Race-Ethnicity,Pacific Islander,,6006,,,,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Race-Ethnicity,White,42,411859,10.2,7.3,13.8,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Race-Ethnicity,Other,,536,,,,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Race-Ethnicity,Unknown,,32884,,,,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Age,<20 years,,82468,,,,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Age,20-24 years,25,279677,8.9,5.8,13.2,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Age,25-29 years,27,392505,6.9,4.5,10,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Age,30-34 years,44,430215,10.2,7.4,13.7,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Age,35-39 years,47,239937,19.6,14.4,26,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Age,40+ years,27,64114,42.1,27.8,61.3,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Education,Less than high school,40,244692,16.3,11.7,22.3,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Education,High school graduate,50,363491,13.8,10.2,18.1,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Education,Some college,42,386065,10.9,7.8,14.7,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Education,College graduate,44,431117,10.2,7.4,13.7,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Nativity,Born in U.S.,121,926150,13.1,10.7,15.4,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Nativity,Born outside U.S.,56,561912,10,7.5,12.9,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Prepregnancy Body Mass Index,Underweight/Normal weight (<25),62,736905,8.4,6.5,10.8,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Prepregnancy Body Mass Index,Overweight (25.0-29.9),35,370473,9.4,6.6,13.1,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Prepregnancy Body Mass Index,Obese I/II (30-39.9),48,269032,17.8,13.2,23.7,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Prepregnancy Body Mass Index,Obese III (40+),12,49022,24.5,12.6,42.8,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Cause of Death,Cardiovascular disease,54,1489154,3.6,2.7,4.7,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Cause of Death,Sepsis/Infection,27,1489154,1.8,1.2,2.6,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Cause of Death,Hemorrhage,24,1489154,1.6,1,2.4,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Cause of Death,Hypertensive disorders,24,1489154,1.6,1,2.4,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Cause of Death,Pulmonary embolism,,1489154,,,,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Cause of Death,Amniotic fluid embolism,12,1489154,0.8,0.4,1.4,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Cause of Death,Cerebrovascular accident,,1489154,,,,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Cause of Death,Anesthesia complications,,1489154,,,,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Cause of Death,Other,18,1489154,1.2,0.7,1.9,
Pregnancy-Related Mortality Ratio,California,,2013-2015,Cause of Death,Undetermined,,1489154,,,,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Total Population,Total population,193,1483687,13,11.2,14.8,
Pregnancy-Related Mortality Ratio,California,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,California,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,California,Southern Central Valley,2014-2016,Total Population,Total population,22,161224,13.6,8.6,20.7,
Pregnancy-Related Mortality Ratio,California,Los Angeles - Santa Barbara - Ventura,2014-2016,Total Population,Total population,55,424658,13,9.8,16.9,
Pregnancy-Related Mortality Ratio,California,Southern Inland,2014-2016,Total Population,Total population,22,185544,11.9,7.4,18,
Pregnancy-Related Mortality Ratio,California,Orange - San Diego - Imperial,2014-2016,Total Population,Total population,31,255126,12.2,8.3,17.2,
Pregnancy-Related Mortality Ratio,Alameda,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,Alpine,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Amador,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Butte,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Calaveras,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Colusa,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Contra Costa,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,Del Norte,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,El Dorado,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Fresno,Southern Central Valley,2014-2016,Total Population,Total population,22,161224,13.6,8.6,20.7,
Pregnancy-Related Mortality Ratio,Glenn,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Humboldt,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,Imperial,Orange - San Diego - Imperial,2014-2016,Total Population,Total population,31,255126,12.2,8.3,17.2,
Pregnancy-Related Mortality Ratio,Inyo,Southern Inland,2014-2016,Total Population,Total population,22,185544,11.9,7.4,18,
Pregnancy-Related Mortality Ratio,Kern,Southern Central Valley,2014-2016,Total Population,Total population,22,161224,13.6,8.6,20.7,
Pregnancy-Related Mortality Ratio,Kings,Southern Central Valley,2014-2016,Total Population,Total population,22,161224,13.6,8.6,20.7,
Pregnancy-Related Mortality Ratio,Lake,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,Lassen,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Los Angeles,Los Angeles - Santa Barbara - Ventura,2014-2016,Total Population,Total population,55,424658,13,9.8,16.9,
Pregnancy-Related Mortality Ratio,Madera,Southern Central Valley,2014-2016,Total Population,Total population,22,161224,13.6,8.6,20.7,
Pregnancy-Related Mortality Ratio,Marin,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,Mariposa,Southern Central Valley,2014-2016,Total Population,Total population,22,161224,13.6,8.6,20.7,
Pregnancy-Related Mortality Ratio,Mendocino,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,Merced,Southern Central Valley,2014-2016,Total Population,Total population,22,161224,13.6,8.6,20.7,
Pregnancy-Related Mortality Ratio,Modoc,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Mono,Southern Inland,2014-2016,Total Population,Total population,22,185544,11.9,7.4,18,
Pregnancy-Related Mortality Ratio,Monterey,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,Napa,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,Nevada,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Orange,Orange - San Diego - Imperial,2014-2016,Total Population,Total population,31,255126,12.2,8.3,17.2,
Pregnancy-Related Mortality Ratio,Placer,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Plumas,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Riverside,Southern Inland,2014-2016,Total Population,Total population,22,185544,11.9,7.4,18,
Pregnancy-Related Mortality Ratio,Sacramento,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,San Benito,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,San Bernardino,Southern Inland,2014-2016,Total Population,Total population,22,185544,11.9,7.4,18,
Pregnancy-Related Mortality Ratio,San Diego,Orange - San Diego - Imperial,2014-2016,Total Population,Total population,31,255126,12.2,8.3,17.2,
Pregnancy-Related Mortality Ratio,San Francisco,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,San Joaquin,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,San Luis Obispo,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,San Mateo,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,Santa Barbara,Los Angeles - Santa Barbara - Ventura,2014-2016,Total Population,Total population,55,424658,13,9.8,16.9,
Pregnancy-Related Mortality Ratio,Santa Clara,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,Santa Cruz,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,Shasta,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Sierra,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Siskiyou,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Solano,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Sonoma,North and Mid-Coastal,2014-2016,Total Population,Total population,40,295448,13.5,9.7,18.4,
Pregnancy-Related Mortality Ratio,Stanislaus,Southern Central Valley,2014-2016,Total Population,Total population,22,161224,13.6,8.6,20.7,
Pregnancy-Related Mortality Ratio,Sutter,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Tehama,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Trinity,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Tulare,Southern Central Valley,2014-2016,Total Population,Total population,22,161224,13.6,8.6,20.7,
Pregnancy-Related Mortality Ratio,Tuolumne,Southern Central Valley,2014-2016,Total Population,Total population,22,161224,13.6,8.6,20.7,
Pregnancy-Related Mortality Ratio,Ventura,Los Angeles - Santa Barbara - Ventura,2014-2016,Total Population,Total population,55,424658,13,9.8,16.9,
Pregnancy-Related Mortality Ratio,Yolo,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,Yuba,Northeastern and Northern Central Valley,2014-2016,Total Population,Total population,23,161687,14.2,9,21.3,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Race-Ethnicity,Hispanic,77,700075,11,8.7,13.7,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Race-Ethnicity,Multi-Race,,35167,,,,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Race-Ethnicity,Black,42,72974,57.6,41.5,77.8,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Race-Ethnicity,AIAN,,4958,,,,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Race-Ethnicity,Asian,28,219144,12.8,8.5,18.5,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Race-Ethnicity,Pacific Islander,,5852,,,,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Race-Ethnicity,White,39,406304,9.6,6.8,13.1,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Race-Ethnicity,Other,,536,,,,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Race-Ethnicity,Unknown,,38677,,,,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Age,<20 years,,73271,,,,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Age,20-24 years,26,266706,9.7,6.4,14.3,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Age,25-29 years,34,392434,8.7,6,12.1,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Age,30-34 years,45,438089,10.3,7.5,13.7,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Age,35-39 years,55,247983,22.2,16.7,28.9,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Age,40+ years,27,64948,41.6,27.4,60.5,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Education,Less than high school,47,224995,20.9,15.3,27.8,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Education,High school graduate,49,359084,13.6,10.1,18,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Education,Some college,46,387396,11.9,8.7,15.8,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Education,College graduate,50,442637,11.3,8.4,14.9,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Nativity,Born in U.S.,125,925102,13.5,11.1,15.9,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Nativity,Born outside U.S.,68,557399,12.2,9.5,15.5,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Prepregnancy Body Mass Index,Underweight/Normal weight (<25),67,728536,9.2,7.1,11.7,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Prepregnancy Body Mass Index,Overweight (25.0-29.9),49,373423,13.1,9.7,17.3,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Prepregnancy Body Mass Index,Obese I/II (30-39.9),45,274685,16.4,11.9,21.9,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Prepregnancy Body Mass Index,Obese III (40+),15,50420,29.8,16.7,49.1,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Cause of Death,Cardiovascular disease,60,1483687,4,3.1,5.2,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Cause of Death,Sepsis/Infection,29,1483687,2,1.3,2.8,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Cause of Death,Hemorrhage,30,1483687,2,1.4,2.9,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Cause of Death,Hypertensive disorders,25,1483687,1.7,1.1,2.5,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Cause of Death,Pulmonary embolism,12,1483687,0.8,0.4,1.4,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Cause of Death,Amniotic fluid embolism,10,1483687,0.7,0.3,1.2,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Cause of Death,Cerebrovascular accident,,1483687,,,,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Cause of Death,Anesthesia complications,,1483687,,,,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Cause of Death,Other,17,1483687,1.1,0.7,1.8,
Pregnancy-Related Mortality Ratio,California,,2014-2016,Cause of Death,Undetermined,,1483687,,,,
Pregnancy-Related Mortality Ratio,California,,2015-2017,Total Population,Total population,197,1452520,13.6,11.7,15.5,
Pregnancy-Related Mortality Ratio,California,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,California,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,California,Southern Central Valley,2015-2017,Total Population,Total population,25,158444,15.8,10.2,23.3,
Pregnancy-Related Mortality Ratio,California,Los Angeles - Santa Barbara - Ventura,2015-2017,Total Population,Total population,58,409912,14.1,10.7,18.3,
Pregnancy-Related Mortality Ratio,California,Southern Inland,2015-2017,Total Population,Total population,20,183539,10.9,6.7,16.8,
Pregnancy-Related Mortality Ratio,California,Orange - San Diego - Imperial,2015-2017,Total Population,Total population,29,250220,11.6,7.8,16.6,
Pregnancy-Related Mortality Ratio,Alameda,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,Alpine,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Amador,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Butte,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Calaveras,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Colusa,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Contra Costa,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,Del Norte,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,El Dorado,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Fresno,Southern Central Valley,2015-2017,Total Population,Total population,25,158444,15.8,10.2,23.3,
Pregnancy-Related Mortality Ratio,Glenn,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Humboldt,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,Imperial,Orange - San Diego - Imperial,2015-2017,Total Population,Total population,29,250220,11.6,7.8,16.6,
Pregnancy-Related Mortality Ratio,Inyo,Southern Inland,2015-2017,Total Population,Total population,20,183539,10.9,6.7,16.8,
Pregnancy-Related Mortality Ratio,Kern,Southern Central Valley,2015-2017,Total Population,Total population,25,158444,15.8,10.2,23.3,
Pregnancy-Related Mortality Ratio,Kings,Southern Central Valley,2015-2017,Total Population,Total population,25,158444,15.8,10.2,23.3,
Pregnancy-Related Mortality Ratio,Lake,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,Lassen,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Los Angeles,Los Angeles - Santa Barbara - Ventura,2015-2017,Total Population,Total population,58,409912,14.1,10.7,18.3,
Pregnancy-Related Mortality Ratio,Madera,Southern Central Valley,2015-2017,Total Population,Total population,25,158444,15.8,10.2,23.3,
Pregnancy-Related Mortality Ratio,Marin,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,Mariposa,Southern Central Valley,2015-2017,Total Population,Total population,25,158444,15.8,10.2,23.3,
Pregnancy-Related Mortality Ratio,Mendocino,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,Merced,Southern Central Valley,2015-2017,Total Population,Total population,25,158444,15.8,10.2,23.3,
Pregnancy-Related Mortality Ratio,Modoc,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Mono,Southern Inland,2015-2017,Total Population,Total population,20,183539,10.9,6.7,16.8,
Pregnancy-Related Mortality Ratio,Monterey,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,Napa,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,Nevada,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Orange,Orange - San Diego - Imperial,2015-2017,Total Population,Total population,29,250220,11.6,7.8,16.6,
Pregnancy-Related Mortality Ratio,Placer,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Plumas,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Riverside,Southern Inland,2015-2017,Total Population,Total population,20,183539,10.9,6.7,16.8,
Pregnancy-Related Mortality Ratio,Sacramento,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,San Benito,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,San Bernardino,Southern Inland,2015-2017,Total Population,Total population,20,183539,10.9,6.7,16.8,
Pregnancy-Related Mortality Ratio,San Diego,Orange - San Diego - Imperial,2015-2017,Total Population,Total population,29,250220,11.6,7.8,16.6,
Pregnancy-Related Mortality Ratio,San Francisco,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,San Joaquin,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,San Luis Obispo,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,San Mateo,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,Santa Barbara,Los Angeles - Santa Barbara - Ventura,2015-2017,Total Population,Total population,58,409912,14.1,10.7,18.3,
Pregnancy-Related Mortality Ratio,Santa Clara,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,Santa Cruz,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,Shasta,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Sierra,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Siskiyou,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Solano,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Sonoma,North and Mid-Coastal,2015-2017,Total Population,Total population,40,290025,13.8,9.9,18.8,
Pregnancy-Related Mortality Ratio,Stanislaus,Southern Central Valley,2015-2017,Total Population,Total population,25,158444,15.8,10.2,23.3,
Pregnancy-Related Mortality Ratio,Sutter,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Tehama,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Trinity,Northeastern and Northern Central Valley,2015-2017,Total Population,Total population,25,160380,15.6,10.1,23,
Pregnancy-Related Mortality Ratio,Tulare,Southern Central Valley,2015-2017,Total Population,Total population,25,158444,15.8,10.2,23.3,
